,State,Hourly Demand Met (in MW),DateTime
148920,West Bengal,3704.76,2017-01-01 00:00:00
148921,West Bengal,3447.16,2017-01-01 01:00:00
148922,West Bengal,3283.97,2017-01-01 02:00:00
148923,West Bengal,3244.1,2017-01-01 03:00:00
148924,West Bengal,3255.13,2017-01-01 04:00:00
148925,West Bengal,3270.98,2017-01-01 05:00:00
148926,West Bengal,3435.4,2017-01-01 06:00:00
148927,West Bengal,3745.83,2017-01-01 07:00:00
148928,West Bengal,3921.58,2017-01-01 08:00:00
148929,West Bengal,3998.36,2017-01-01 09:00:00
148930,West Bengal,3957.41,2017-01-01 10:00:00
148931,West Bengal,3943.12,2017-01-01 11:00:00
148932,West Bengal,3926.35,2017-01-01 12:00:00
148933,West Bengal,3769.81,2017-01-01 13:00:00
148934,West Bengal,3547.03,2017-01-01 14:00:00
148935,West Bengal,3338.21,2017-01-01 15:00:00
148936,West Bengal,3577.46,2017-01-01 16:00:00
148937,West Bengal,4580.52,2017-01-01 17:00:00
148938,West Bengal,5212.1,2017-01-01 18:00:00
148939,West Bengal,5218.04,2017-01-01 19:00:00
148940,West Bengal,5095.24,2017-01-01 20:00:00
148941,West Bengal,4694.97,2017-01-01 21:00:00
148942,West Bengal,4060.9,2017-01-01 22:00:00
148943,West Bengal,3673.85,2017-01-01 23:00:00
148944,West Bengal,3402.76,2017-01-02 00:00:00
148945,West Bengal,3119.57,2017-01-02 01:00:00
148946,West Bengal,3050.8,2017-01-02 02:00:00
148947,West Bengal,2999.88,2017-01-02 03:00:00
148948,West Bengal,3067.56,2017-01-02 04:00:00
148949,West Bengal,3213.84,2017-01-02 05:00:00
148950,West Bengal,3484.24,2017-01-02 06:00:00
148951,West Bengal,3839.67,2017-01-02 07:00:00
148952,West Bengal,4088.22,2017-01-02 08:00:00
148953,West Bengal,4157.23,2017-01-02 09:00:00
148954,West Bengal,4295.4,2017-01-02 10:00:00
148955,West Bengal,4376.41,2017-01-02 11:00:00
148956,West Bengal,4396.09,2017-01-02 12:00:00
148957,West Bengal,4352.01,2017-01-02 13:00:00
148958,West Bengal,4063.73,2017-01-02 14:00:00
148959,West Bengal,4051.72,2017-01-02 15:00:00
148960,West Bengal,4181.58,2017-01-02 16:00:00
148961,West Bengal,5225.81,2017-01-02 17:00:00
148962,West Bengal,5923.78,2017-01-02 18:00:00
148963,West Bengal,5832.19,2017-01-02 19:00:00
148964,West Bengal,5601.38,2017-01-02 20:00:00
148965,West Bengal,5059.88,2017-01-02 21:00:00
148966,West Bengal,4412.86,2017-01-02 22:00:00
148967,West Bengal,3858.67,2017-01-02 23:00:00
148968,West Bengal,3443.51,2017-01-03 00:00:00
148969,West Bengal,3372.65,2017-01-03 01:00:00
148970,West Bengal,3324.43,2017-01-03 02:00:00
148971,West Bengal,3175.87,2017-01-03 03:00:00
148972,West Bengal,3238.57,2017-01-03 04:00:00
148973,West Bengal,3281.46,2017-01-03 05:00:00
148974,West Bengal,3478.61,2017-01-03 06:00:00
148975,West Bengal,3914.63,2017-01-03 07:00:00
148976,West Bengal,4114.24,2017-01-03 08:00:00
148977,West Bengal,4195.27,2017-01-03 09:00:00
148978,West Bengal,4316.91,2017-01-03 10:00:00
148979,West Bengal,4468.0,2017-01-03 11:00:00
148980,West Bengal,4514.23,2017-01-03 12:00:00
148981,West Bengal,4256.2,2017-01-03 13:00:00
148982,West Bengal,4036.25,2017-01-03 14:00:00
148983,West Bengal,4091.34,2017-01-03 15:00:00
148984,West Bengal,4303.82,2017-01-03 16:00:00
148985,West Bengal,5209.88,2017-01-03 17:00:00
148986,West Bengal,5676.09,2017-01-03 18:00:00
148987,West Bengal,5595.06,2017-01-03 19:00:00
148988,West Bengal,5334.83,2017-01-03 20:00:00
148989,West Bengal,5157.24,2017-01-03 21:00:00
148990,West Bengal,4435.16,2017-01-03 22:00:00
148991,West Bengal,3868.27,2017-01-03 23:00:00
148992,West Bengal,3443.51,2017-01-04 00:00:00
148993,West Bengal,3372.65,2017-01-04 01:00:00
148994,West Bengal,3324.43,2017-01-04 02:00:00
148995,West Bengal,3175.87,2017-01-04 03:00:00
148996,West Bengal,3238.57,2017-01-04 04:00:00
148997,West Bengal,3281.46,2017-01-04 05:00:00
148998,West Bengal,3478.61,2017-01-04 06:00:00
148999,West Bengal,3914.63,2017-01-04 07:00:00
149000,West Bengal,4114.24,2017-01-04 08:00:00
149001,West Bengal,4229.41,2017-01-04 09:00:00
149002,West Bengal,4282.49,2017-01-04 10:00:00
149003,West Bengal,4384.91,2017-01-04 11:00:00
149004,West Bengal,4461.6,2017-01-04 12:00:00
149005,West Bengal,4235.78,2017-01-04 13:00:00
149006,West Bengal,4029.11,2017-01-04 14:00:00
149007,West Bengal,4017.7,2017-01-04 15:00:00
149008,West Bengal,4259.56,2017-01-04 16:00:00
149009,West Bengal,5345.67,2017-01-04 17:00:00
149010,West Bengal,5974.03,2017-01-04 18:00:00
149011,West Bengal,5844.57,2017-01-04 19:00:00
149012,West Bengal,5617.67,2017-01-04 20:00:00
149013,West Bengal,5158.63,2017-01-04 21:00:00
149014,West Bengal,4450.66,2017-01-04 22:00:00
149015,West Bengal,3909.46,2017-01-04 23:00:00
149016,West Bengal,3488.4,2017-01-05 00:00:00
149017,West Bengal,3312.79,2017-01-05 01:00:00
149018,West Bengal,3148.85,2017-01-05 02:00:00
149019,West Bengal,3180.78,2017-01-05 03:00:00
149020,West Bengal,3202.44,2017-01-05 04:00:00
149021,West Bengal,3361.06,2017-01-05 05:00:00
149022,West Bengal,3700.37,2017-01-05 06:00:00
149023,West Bengal,4091.64,2017-01-05 07:00:00
149024,West Bengal,4328.23,2017-01-05 08:00:00
149025,West Bengal,4457.72,2017-01-05 09:00:00
149026,West Bengal,4428.33,2017-01-05 10:00:00
149027,West Bengal,4522.75,2017-01-05 11:00:00
149028,West Bengal,4593.57,2017-01-05 12:00:00
149029,West Bengal,4357.09,2017-01-05 13:00:00
149030,West Bengal,4164.89,2017-01-05 14:00:00
149031,West Bengal,4131.35,2017-01-05 15:00:00
149032,West Bengal,4286.2,2017-01-05 16:00:00
149033,West Bengal,5368.61,2017-01-05 17:00:00
149034,West Bengal,6122.39,2017-01-05 18:00:00
149035,West Bengal,5988.6,2017-01-05 19:00:00
149036,West Bengal,5779.36,2017-01-05 20:00:00
149037,West Bengal,5236.34,2017-01-05 21:00:00
149038,West Bengal,4552.93,2017-01-05 22:00:00
149039,West Bengal,3935.99,2017-01-05 23:00:00
149040,West Bengal,3557.25,2017-01-06 00:00:00
149041,West Bengal,3437.63,2017-01-06 01:00:00
149042,West Bengal,3384.53,2017-01-06 02:00:00
149043,West Bengal,3350.2,2017-01-06 03:00:00
149044,West Bengal,3362.49,2017-01-06 04:00:00
149045,West Bengal,3476.17,2017-01-06 05:00:00
149046,West Bengal,3702.73,2017-01-06 06:00:00
149047,West Bengal,4151.61,2017-01-06 07:00:00
149048,West Bengal,4346.88,2017-01-06 08:00:00
149049,West Bengal,4408.72,2017-01-06 09:00:00
149050,West Bengal,4455.23,2017-01-06 10:00:00
149051,West Bengal,4472.02,2017-01-06 11:00:00
149052,West Bengal,4459.96,2017-01-06 12:00:00
149053,West Bengal,4214.67,2017-01-06 13:00:00
149054,West Bengal,4103.73,2017-01-06 14:00:00
149055,West Bengal,4095.43,2017-01-06 15:00:00
149056,West Bengal,4172.58,2017-01-06 16:00:00
149057,West Bengal,5098.07,2017-01-06 17:00:00
149058,West Bengal,5859.21,2017-01-06 18:00:00
149059,West Bengal,6035.83,2017-01-06 19:00:00
149060,West Bengal,5799.23,2017-01-06 20:00:00
149061,West Bengal,5250.92,2017-01-06 21:00:00
149062,West Bengal,4457.52,2017-01-06 22:00:00
149063,West Bengal,3736.87,2017-01-06 23:00:00
149064,West Bengal,3314.43,2017-01-07 00:00:00
149065,West Bengal,3306.34,2017-01-07 01:00:00
149066,West Bengal,3180.7,2017-01-07 02:00:00
149067,West Bengal,3224.15,2017-01-07 03:00:00
149068,West Bengal,3230.75,2017-01-07 04:00:00
149069,West Bengal,3277.61,2017-01-07 05:00:00
149070,West Bengal,3638.99,2017-01-07 06:00:00
149071,West Bengal,3938.03,2017-01-07 07:00:00
149072,West Bengal,4322.01,2017-01-07 08:00:00
149073,West Bengal,4498.1,2017-01-07 09:00:00
149074,West Bengal,4481.76,2017-01-07 10:00:00
149075,West Bengal,4553.75,2017-01-07 11:00:00
149076,West Bengal,4632.61,2017-01-07 12:00:00
149077,West Bengal,4396.03,2017-01-07 13:00:00
149078,West Bengal,4142.53,2017-01-07 14:00:00
149079,West Bengal,3931.79,2017-01-07 15:00:00
149080,West Bengal,4137.01,2017-01-07 16:00:00
149081,West Bengal,5135.42,2017-01-07 17:00:00
149082,West Bengal,5859.45,2017-01-07 18:00:00
149083,West Bengal,5692.26,2017-01-07 19:00:00
149084,West Bengal,5456.73,2017-01-07 20:00:00
149085,West Bengal,5062.35,2017-01-07 21:00:00
149086,West Bengal,4451.73,2017-01-07 22:00:00
149087,West Bengal,3873.33,2017-01-07 23:00:00
149088,West Bengal,3505.25,2017-01-08 00:00:00
149089,West Bengal,3374.63,2017-01-08 01:00:00
149090,West Bengal,3277.76,2017-01-08 02:00:00
149091,West Bengal,3274.03,2017-01-08 03:00:00
149092,West Bengal,3265.38,2017-01-08 04:00:00
149093,West Bengal,3446.07,2017-01-08 05:00:00
149094,West Bengal,3635.26,2017-01-08 06:00:00
149095,West Bengal,3863.29,2017-01-08 07:00:00
149096,West Bengal,3894.91,2017-01-08 08:00:00
149097,West Bengal,3837.38,2017-01-08 09:00:00
149098,West Bengal,3774.65,2017-01-08 10:00:00
149099,West Bengal,3894.54,2017-01-08 11:00:00
149100,West Bengal,4029.41,2017-01-08 12:00:00
149101,West Bengal,3914.49,2017-01-08 13:00:00
149102,West Bengal,3659.71,2017-01-08 14:00:00
149103,West Bengal,3560.15,2017-01-08 15:00:00
149104,West Bengal,3787.77,2017-01-08 16:00:00
149105,West Bengal,4727.85,2017-01-08 17:00:00
149106,West Bengal,5460.0,2017-01-08 18:00:00
149107,West Bengal,5415.2,2017-01-08 19:00:00
149108,West Bengal,5290.7,2017-01-08 20:00:00
149109,West Bengal,4944.88,2017-01-08 21:00:00
149110,West Bengal,4253.21,2017-01-08 22:00:00
149111,West Bengal,3709.59,2017-01-08 23:00:00
149112,West Bengal,3413.2,2017-01-09 00:00:00
149113,West Bengal,3260.63,2017-01-09 01:00:00
149114,West Bengal,3225.07,2017-01-09 02:00:00
149115,West Bengal,3198.85,2017-01-09 03:00:00
149116,West Bengal,3263.81,2017-01-09 04:00:00
149117,West Bengal,3454.78,2017-01-09 05:00:00
149118,West Bengal,3691.8,2017-01-09 06:00:00
149119,West Bengal,4045.55,2017-01-09 07:00:00
149120,West Bengal,4265.97,2017-01-09 08:00:00
149121,West Bengal,4434.22,2017-01-09 09:00:00
149122,West Bengal,4437.42,2017-01-09 10:00:00
149123,West Bengal,4503.17,2017-01-09 11:00:00
149124,West Bengal,4556.37,2017-01-09 12:00:00
149125,West Bengal,4346.17,2017-01-09 13:00:00
149126,West Bengal,4156.94,2017-01-09 14:00:00
149127,West Bengal,4194.78,2017-01-09 15:00:00
149128,West Bengal,4352.35,2017-01-09 16:00:00
149129,West Bengal,5266.01,2017-01-09 17:00:00
149130,West Bengal,5963.46,2017-01-09 18:00:00
149131,West Bengal,5802.45,2017-01-09 19:00:00
149132,West Bengal,5709.69,2017-01-09 20:00:00
149133,West Bengal,5386.25,2017-01-09 21:00:00
149134,West Bengal,4661.79,2017-01-09 22:00:00
149135,West Bengal,4118.87,2017-01-09 23:00:00
149136,West Bengal,3772.43,2017-01-10 00:00:00
149137,West Bengal,3591.09,2017-01-10 01:00:00
149138,West Bengal,3513.66,2017-01-10 02:00:00
149139,West Bengal,3520.83,2017-01-10 03:00:00
149140,West Bengal,3536.7,2017-01-10 04:00:00
149141,West Bengal,3576.74,2017-01-10 05:00:00
149142,West Bengal,3791.97,2017-01-10 06:00:00
149143,West Bengal,4167.96,2017-01-10 07:00:00
149144,West Bengal,4407.01,2017-01-10 08:00:00
149145,West Bengal,4544.49,2017-01-10 09:00:00
149146,West Bengal,4527.8,2017-01-10 10:00:00
149147,West Bengal,4616.84,2017-01-10 11:00:00
149148,West Bengal,4633.56,2017-01-10 12:00:00
149149,West Bengal,4443.9,2017-01-10 13:00:00
149150,West Bengal,4319.83,2017-01-10 14:00:00
149151,West Bengal,4319.44,2017-01-10 15:00:00
149152,West Bengal,4474.73,2017-01-10 16:00:00
149153,West Bengal,5375.59,2017-01-10 17:00:00
149154,West Bengal,6056.13,2017-01-10 18:00:00
149155,West Bengal,5933.77,2017-01-10 19:00:00
149156,West Bengal,5700.98,2017-01-10 20:00:00
149157,West Bengal,5245.51,2017-01-10 21:00:00
149158,West Bengal,4561.69,2017-01-10 22:00:00
149159,West Bengal,3939.33,2017-01-10 23:00:00
149160,West Bengal,3563.4,2017-01-11 00:00:00
149161,West Bengal,3400.48,2017-01-11 01:00:00
149162,West Bengal,3368.92,2017-01-11 02:00:00
149163,West Bengal,3373.66,2017-01-11 03:00:00
149164,West Bengal,3411.85,2017-01-11 04:00:00
149165,West Bengal,3551.53,2017-01-11 05:00:00
149166,West Bengal,3865.52,2017-01-11 06:00:00
149167,West Bengal,4285.44,2017-01-11 07:00:00
149168,West Bengal,4419.47,2017-01-11 08:00:00
149169,West Bengal,4568.76,2017-01-11 09:00:00
149170,West Bengal,4573.02,2017-01-11 10:00:00
149171,West Bengal,4636.12,2017-01-11 11:00:00
149172,West Bengal,4653.86,2017-01-11 12:00:00
149173,West Bengal,4375.21,2017-01-11 13:00:00
149174,West Bengal,4173.99,2017-01-11 14:00:00
149175,West Bengal,4190.65,2017-01-11 15:00:00
149176,West Bengal,4384.14,2017-01-11 16:00:00
149177,West Bengal,5346.65,2017-01-11 17:00:00
149178,West Bengal,6181.27,2017-01-11 18:00:00
149179,West Bengal,6038.91,2017-01-11 19:00:00
149180,West Bengal,5785.6,2017-01-11 20:00:00
149181,West Bengal,5353.03,2017-01-11 21:00:00
149182,West Bengal,4665.59,2017-01-11 22:00:00
149183,West Bengal,4051.52,2017-01-11 23:00:00
149184,West Bengal,3638.71,2017-01-12 00:00:00
149185,West Bengal,3431.91,2017-01-12 01:00:00
149186,West Bengal,3351.03,2017-01-12 02:00:00
149187,West Bengal,3345.79,2017-01-12 03:00:00
149188,West Bengal,3412.68,2017-01-12 04:00:00
149189,West Bengal,3624.23,2017-01-12 05:00:00
149190,West Bengal,3903.47,2017-01-12 06:00:00
149191,West Bengal,4276.49,2017-01-12 07:00:00
149192,West Bengal,4496.31,2017-01-12 08:00:00
149193,West Bengal,4626.88,2017-01-12 09:00:00
149194,West Bengal,4688.45,2017-01-12 10:00:00
149195,West Bengal,4796.63,2017-01-12 11:00:00
149196,West Bengal,4823.31,2017-01-12 12:00:00
149197,West Bengal,4632.21,2017-01-12 13:00:00
149198,West Bengal,4325.94,2017-01-12 14:00:00
149199,West Bengal,4248.87,2017-01-12 15:00:00
149200,West Bengal,4371.16,2017-01-12 16:00:00
149201,West Bengal,5400.97,2017-01-12 17:00:00
149202,West Bengal,6195.78,2017-01-12 18:00:00
149203,West Bengal,6114.68,2017-01-12 19:00:00
149204,West Bengal,5832.31,2017-01-12 20:00:00
149205,West Bengal,5333.51,2017-01-12 21:00:00
149206,West Bengal,4632.01,2017-01-12 22:00:00
149207,West Bengal,4066.69,2017-01-12 23:00:00
149208,West Bengal,3638.71,2017-01-13 00:00:00
149209,West Bengal,3431.91,2017-01-13 01:00:00
149210,West Bengal,3351.03,2017-01-13 02:00:00
149211,West Bengal,3345.79,2017-01-13 03:00:00
149212,West Bengal,3412.68,2017-01-13 04:00:00
149213,West Bengal,3624.23,2017-01-13 05:00:00
149214,West Bengal,3903.47,2017-01-13 06:00:00
149215,West Bengal,4276.49,2017-01-13 07:00:00
149216,West Bengal,4496.31,2017-01-13 08:00:00
149217,West Bengal,4626.88,2017-01-13 09:00:00
149218,West Bengal,4688.45,2017-01-13 10:00:00
149219,West Bengal,4759.8,2017-01-13 11:00:00
149220,West Bengal,4767.44,2017-01-13 12:00:00
149221,West Bengal,4481.13,2017-01-13 13:00:00
149222,West Bengal,4346.77,2017-01-13 14:00:00
149223,West Bengal,4352.97,2017-01-13 15:00:00
149224,West Bengal,4477.42,2017-01-13 16:00:00
149225,West Bengal,5405.09,2017-01-13 17:00:00
149226,West Bengal,6224.25,2017-01-13 18:00:00
149227,West Bengal,6188.78,2017-01-13 19:00:00
149228,West Bengal,5918.69,2017-01-13 20:00:00
149229,West Bengal,5426.45,2017-01-13 21:00:00
149230,West Bengal,4704.67,2017-01-13 22:00:00
149231,West Bengal,4124.01,2017-01-13 23:00:00
149232,West Bengal,3761.02,2017-01-14 00:00:00
149233,West Bengal,3558.16,2017-01-14 01:00:00
149234,West Bengal,3439.91,2017-01-14 02:00:00
149235,West Bengal,3368.65,2017-01-14 03:00:00
149236,West Bengal,3449.42,2017-01-14 04:00:00
149237,West Bengal,3623.39,2017-01-14 05:00:00
149238,West Bengal,3813.26,2017-01-14 06:00:00
149239,West Bengal,4158.36,2017-01-14 07:00:00
149240,West Bengal,4398.94,2017-01-14 08:00:00
149241,West Bengal,4543.76,2017-01-14 09:00:00
149242,West Bengal,4528.25,2017-01-14 10:00:00
149243,West Bengal,4593.9,2017-01-14 11:00:00
149244,West Bengal,4660.32,2017-01-14 12:00:00
149245,West Bengal,4485.58,2017-01-14 13:00:00
149246,West Bengal,4232.55,2017-01-14 14:00:00
149247,West Bengal,4159.24,2017-01-14 15:00:00
149248,West Bengal,4275.31,2017-01-14 16:00:00
149249,West Bengal,5140.12,2017-01-14 17:00:00
149250,West Bengal,5979.99,2017-01-14 18:00:00
149251,West Bengal,5977.02,2017-01-14 19:00:00
149252,West Bengal,5729.96,2017-01-14 20:00:00
149253,West Bengal,5257.93,2017-01-14 21:00:00
149254,West Bengal,4538.56,2017-01-14 22:00:00
149255,West Bengal,4035.59,2017-01-14 23:00:00
149256,West Bengal,3689.45,2017-01-15 00:00:00
149257,West Bengal,3511.8,2017-01-15 01:00:00
149258,West Bengal,3443.24,2017-01-15 02:00:00
149259,West Bengal,3406.07,2017-01-15 03:00:00
149260,West Bengal,3453.88,2017-01-15 04:00:00
149261,West Bengal,3577.69,2017-01-15 05:00:00
149262,West Bengal,3739.99,2017-01-15 06:00:00
149263,West Bengal,4043.28,2017-01-15 07:00:00
149264,West Bengal,4197.08,2017-01-15 08:00:00
149265,West Bengal,4190.06,2017-01-15 09:00:00
149266,West Bengal,4129.98,2017-01-15 10:00:00
149267,West Bengal,4218.91,2017-01-15 11:00:00
149268,West Bengal,4379.07,2017-01-15 12:00:00
149269,West Bengal,4311.91,2017-01-15 13:00:00
149270,West Bengal,3968.32,2017-01-15 14:00:00
149271,West Bengal,3737.93,2017-01-15 15:00:00
149272,West Bengal,3798.88,2017-01-15 16:00:00
149273,West Bengal,4685.93,2017-01-15 17:00:00
149274,West Bengal,5576.65,2017-01-15 18:00:00
149275,West Bengal,5614.06,2017-01-15 19:00:00
149276,West Bengal,5494.61,2017-01-15 20:00:00
149277,West Bengal,5134.92,2017-01-15 21:00:00
149278,West Bengal,4476.53,2017-01-15 22:00:00
149279,West Bengal,3992.08,2017-01-15 23:00:00
149280,West Bengal,3612.11,2017-01-16 00:00:00
149281,West Bengal,3424.17,2017-01-16 01:00:00
149282,West Bengal,3356.56,2017-01-16 02:00:00
149283,West Bengal,3357.86,2017-01-16 03:00:00
149284,West Bengal,3402.66,2017-01-16 04:00:00
149285,West Bengal,3566.23,2017-01-16 05:00:00
149286,West Bengal,3853.58,2017-01-16 06:00:00
149287,West Bengal,4242.59,2017-01-16 07:00:00
149288,West Bengal,4435.5,2017-01-16 08:00:00
149289,West Bengal,4607.21,2017-01-16 09:00:00
149290,West Bengal,4599.0,2017-01-16 10:00:00
149291,West Bengal,4710.35,2017-01-16 11:00:00
149292,West Bengal,4733.36,2017-01-16 12:00:00
149293,West Bengal,4492.96,2017-01-16 13:00:00
149294,West Bengal,4292.65,2017-01-16 14:00:00
149295,West Bengal,4263.15,2017-01-16 15:00:00
149296,West Bengal,4342.46,2017-01-16 16:00:00
149297,West Bengal,5234.08,2017-01-16 17:00:00
149298,West Bengal,6122.64,2017-01-16 18:00:00
149299,West Bengal,6073.98,2017-01-16 19:00:00
149300,West Bengal,5899.6,2017-01-16 20:00:00
149301,West Bengal,5474.55,2017-01-16 21:00:00
149302,West Bengal,4784.46,2017-01-16 22:00:00
149303,West Bengal,4220.12,2017-01-16 23:00:00
149304,West Bengal,3779.63,2017-01-17 00:00:00
149305,West Bengal,3591.85,2017-01-17 01:00:00
149306,West Bengal,3487.33,2017-01-17 02:00:00
149307,West Bengal,3480.92,2017-01-17 03:00:00
149308,West Bengal,3558.42,2017-01-17 04:00:00
149309,West Bengal,3738.85,2017-01-17 05:00:00
149310,West Bengal,4046.03,2017-01-17 06:00:00
149311,West Bengal,4456.04,2017-01-17 07:00:00
149312,West Bengal,4721.08,2017-01-17 08:00:00
149313,West Bengal,4827.94,2017-01-17 09:00:00
149314,West Bengal,4780.54,2017-01-17 10:00:00
149315,West Bengal,4812.51,2017-01-17 11:00:00
149316,West Bengal,4860.45,2017-01-17 12:00:00
149317,West Bengal,4643.38,2017-01-17 13:00:00
149318,West Bengal,4388.67,2017-01-17 14:00:00
149319,West Bengal,4333.67,2017-01-17 15:00:00
149320,West Bengal,4552.49,2017-01-17 16:00:00
149321,West Bengal,5424.68,2017-01-17 17:00:00
149322,West Bengal,6286.91,2017-01-17 18:00:00
149323,West Bengal,6192.36,2017-01-17 19:00:00
149324,West Bengal,5977.48,2017-01-17 20:00:00
149325,West Bengal,5514.12,2017-01-17 21:00:00
149326,West Bengal,4801.29,2017-01-17 22:00:00
149327,West Bengal,4211.96,2017-01-17 23:00:00
149328,West Bengal,3766.8,2017-01-18 00:00:00
149329,West Bengal,3589.63,2017-01-18 01:00:00
149330,West Bengal,3513.13,2017-01-18 02:00:00
149331,West Bengal,3481.88,2017-01-18 03:00:00
149332,West Bengal,3572.16,2017-01-18 04:00:00
149333,West Bengal,3728.98,2017-01-18 05:00:00
149334,West Bengal,4020.04,2017-01-18 06:00:00
149335,West Bengal,4419.89,2017-01-18 07:00:00
149336,West Bengal,4642.53,2017-01-18 08:00:00
149337,West Bengal,4821.71,2017-01-18 09:00:00
149338,West Bengal,4816.22,2017-01-18 10:00:00
149339,West Bengal,4847.43,2017-01-18 11:00:00
149340,West Bengal,4920.11,2017-01-18 12:00:00
149341,West Bengal,4661.66,2017-01-18 13:00:00
149342,West Bengal,4394.62,2017-01-18 14:00:00
149343,West Bengal,4371.86,2017-01-18 15:00:00
149344,West Bengal,4566.85,2017-01-18 16:00:00
149345,West Bengal,5453.22,2017-01-18 17:00:00
149346,West Bengal,6381.11,2017-01-18 18:00:00
149347,West Bengal,6261.09,2017-01-18 19:00:00
149348,West Bengal,6036.16,2017-01-18 20:00:00
149349,West Bengal,5579.3,2017-01-18 21:00:00
149350,West Bengal,4878.37,2017-01-18 22:00:00
149351,West Bengal,4263.81,2017-01-18 23:00:00
149352,West Bengal,3787.46,2017-01-19 00:00:00
149353,West Bengal,3644.27,2017-01-19 01:00:00
149354,West Bengal,3617.63,2017-01-19 02:00:00
149355,West Bengal,3605.04,2017-01-19 03:00:00
149356,West Bengal,3660.91,2017-01-19 04:00:00
149357,West Bengal,3895.9,2017-01-19 05:00:00
149358,West Bengal,4241.67,2017-01-19 06:00:00
149359,West Bengal,4524.49,2017-01-19 07:00:00
149360,West Bengal,4739.13,2017-01-19 08:00:00
149361,West Bengal,4861.51,2017-01-19 09:00:00
149362,West Bengal,4876.44,2017-01-19 10:00:00
149363,West Bengal,4926.32,2017-01-19 11:00:00
149364,West Bengal,4939.23,2017-01-19 12:00:00
149365,West Bengal,4689.82,2017-01-19 13:00:00
149366,West Bengal,4514.4,2017-01-19 14:00:00
149367,West Bengal,4535.92,2017-01-19 15:00:00
149368,West Bengal,4604.0,2017-01-19 16:00:00
149369,West Bengal,5451.97,2017-01-19 17:00:00
149370,West Bengal,6327.19,2017-01-19 18:00:00
149371,West Bengal,6233.44,2017-01-19 19:00:00
149372,West Bengal,6042.24,2017-01-19 20:00:00
149373,West Bengal,5636.01,2017-01-19 21:00:00
149374,West Bengal,4887.72,2017-01-19 22:00:00
149375,West Bengal,4323.16,2017-01-19 23:00:00
149376,West Bengal,3941.04,2017-01-20 00:00:00
149377,West Bengal,3681.26,2017-01-20 01:00:00
149378,West Bengal,3575.99,2017-01-20 02:00:00
149379,West Bengal,3565.02,2017-01-20 03:00:00
149380,West Bengal,3676.69,2017-01-20 04:00:00
149381,West Bengal,3842.01,2017-01-20 05:00:00
149382,West Bengal,4133.45,2017-01-20 06:00:00
149383,West Bengal,4516.01,2017-01-20 07:00:00
149384,West Bengal,4710.91,2017-01-20 08:00:00
149385,West Bengal,4968.21,2017-01-20 09:00:00
149386,West Bengal,4901.35,2017-01-20 10:00:00
149387,West Bengal,4959.04,2017-01-20 11:00:00
149388,West Bengal,4944.75,2017-01-20 12:00:00
149389,West Bengal,4651.42,2017-01-20 13:00:00
149390,West Bengal,4439.03,2017-01-20 14:00:00
149391,West Bengal,4425.74,2017-01-20 15:00:00
149392,West Bengal,4613.7,2017-01-20 16:00:00
149393,West Bengal,5297.7,2017-01-20 17:00:00
149394,West Bengal,6250.49,2017-01-20 18:00:00
149395,West Bengal,6353.8,2017-01-20 19:00:00
149396,West Bengal,6090.94,2017-01-20 20:00:00
149397,West Bengal,5682.54,2017-01-20 21:00:00
149398,West Bengal,4932.6,2017-01-20 22:00:00
149399,West Bengal,4349.19,2017-01-20 23:00:00
149400,West Bengal,3924.51,2017-01-21 00:00:00
149401,West Bengal,3735.72,2017-01-21 01:00:00
149402,West Bengal,3639.42,2017-01-21 02:00:00
149403,West Bengal,3645.47,2017-01-21 03:00:00
149404,West Bengal,3699.49,2017-01-21 04:00:00
149405,West Bengal,3824.27,2017-01-21 05:00:00
149406,West Bengal,4079.38,2017-01-21 06:00:00
149407,West Bengal,4491.13,2017-01-21 07:00:00
149408,West Bengal,4767.05,2017-01-21 08:00:00
149409,West Bengal,4842.74,2017-01-21 09:00:00
149410,West Bengal,4873.81,2017-01-21 10:00:00
149411,West Bengal,4968.2,2017-01-21 11:00:00
149412,West Bengal,5021.08,2017-01-21 12:00:00
149413,West Bengal,4728.62,2017-01-21 13:00:00
149414,West Bengal,4533.95,2017-01-21 14:00:00
149415,West Bengal,4485.31,2017-01-21 15:00:00
149416,West Bengal,4537.62,2017-01-21 16:00:00
149417,West Bengal,5341.39,2017-01-21 17:00:00
149418,West Bengal,6313.19,2017-01-21 18:00:00
149419,West Bengal,6497.52,2017-01-21 19:00:00
149420,West Bengal,6360.91,2017-01-21 20:00:00
149421,West Bengal,5807.37,2017-01-21 21:00:00
149422,West Bengal,5040.03,2017-01-21 22:00:00
149423,West Bengal,4374.83,2017-01-21 23:00:00
149424,West Bengal,4009.53,2017-01-22 00:00:00
149425,West Bengal,3957.96,2017-01-22 01:00:00
149426,West Bengal,3850.47,2017-01-22 02:00:00
149427,West Bengal,3839.79,2017-01-22 03:00:00
149428,West Bengal,3886.47,2017-01-22 04:00:00
149429,West Bengal,4001.03,2017-01-22 05:00:00
149430,West Bengal,4099.04,2017-01-22 06:00:00
149431,West Bengal,4479.37,2017-01-22 07:00:00
149432,West Bengal,4654.71,2017-01-22 08:00:00
149433,West Bengal,4635.04,2017-01-22 09:00:00
149434,West Bengal,4582.32,2017-01-22 10:00:00
149435,West Bengal,4668.63,2017-01-22 11:00:00
149436,West Bengal,4764.06,2017-01-22 12:00:00
